id,person_id,task_id,date,hours,allocated_task_id
1,5,1,2024-01-01,2.5,1.0
2,5,1,2024-01-02,2.6,1.0
3,5,1,2024-01-03,2.533333333333333,1.0
4,5,2,2024-01-04,2.6333333333333333,2.0
5,6,2,2024-01-04,3.5666666666666664,2.0
6,5,2,2024-01-05,2.6666666666666665,2.0
7,6,2,2024-01-05,3.6,2.0
8,5,2,2024-01-06,0.5333333333333333,2.0
9,6,2,2024-01-06,1.6333333333333333,2.0
10,5,2,2024-01-07,0.5666666666666667,2.0
11,6,2,2024-01-07,1.6666666666666665,2.0
12,1,3,2024-01-08,2.6,3.0
13,3,3,2024-01-08,3.533333333333333,3.0
14,1,3,2024-01-09,2.6333333333333333,3.0
15,3,3,2024-01-09,3.5666666666666664,3.0
16,1,3,2024-01-10,2.6666666666666665,3.0
17,3,3,2024-01-10,3.6,3.0
18,1,3,2024-01-11,2.533333333333333,3.0
19,3,3,2024-01-11,3.6333333333333333,3.0
20,5,4,2024-01-12,2.5666666666666664,4.0
21,6,4,2024-01-12,3.6666666666666665,4.0
22,1,4,2024-01-12,2.6,4.0
23,1,4,2024-01-12,3.533333333333333,4.0
24,5,4,2024-01-13,0.6333333333333333,4.0
25,6,4,2024-01-13,1.5666666666666664,4.0
26,1,4,2024-01-13,0.6666666666666665,4.0
27,1,4,2024-01-13,1.5999999999999999,4.0
28,12,5,2024-01-08,3.533333333333333,5.0
29,2,5,2024-01-08,4.633333333333333,5.0
30,4,5,2024-01-08,3.5666666666666664,5.0
31,12,5,2024-01-09,3.6666666666666665,5.0
32,2,5,2024-01-09,4.6,5.0
33,4,5,2024-01-09,3.533333333333333,5.0
34,11,6,2024-01-10,3.6333333333333333,6.0
35,12,6,2024-01-10,4.566666666666666,6.0
36,11,6,2024-01-11,3.6666666666666665,6.0
37,12,6,2024-01-11,4.6,6.0
38,11,6,2024-01-12,3.533333333333333,6.0
39,12,6,2024-01-12,4.633333333333333,6.0
40,2,7,2024-01-15,3.5666666666666664,7.0
41,4,7,2024-01-15,4.666666666666666,7.0
